date_start,date_stop,campaign_name,adset_name,ad_name,cpm,impressions,reach,video_play_actions,video_views_3_Sec,video_p95_watched_actions,video_avg_time_watched_actions,clicks,link_clicks,ctr,outbound_clicks_ctr,view_content,Add_to_cart,initiate_checkout,purchase,cpc,link_click_cost,view_content_cost,add_to_cart_cost,purchase_cost,spend,ROAS,conversion_value,age,gender,frequency
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,19.953531,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019954,0,0,18-24,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,36.099136,262,242,221,52,12,3,1,0,0.381679,0,0,0,0,0,9.457974,0,0,0,0,9.457974,0,0,25-34,female,1.082645
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,67.343166,4,4,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269373,0,0,25-34,male,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-34,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,48.453289,809,713,731,217,51,5,18,6,2.224969,0.741656,9,0,0,0,2.177706,6.533119,4.355412,0,0,39.198711,0,0,35-44,female,1.134642
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,37.738199,23,18,16,4,3,7,4,1,17.391304,4.347826,1,0,0,0,0.216995,0.867979,0.867979,0,0,0.867979,0,0,35-44,male,1.277778
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,11.402018,7,6,7,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079814,0,0,35-44,unknown,1.166667
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,68.276889,1170,1057,1050,419,81,5,42,20,3.589744,1.709402,17,2,2,0,1.901999,3.994198,4.699056,39.94198,0,79.88396,0,0,45-54,female,1.106906
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,47.389636,12,10,10,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568676,0,0,45-54,male,1.2
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,36.581473,6,6,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219489,0,0,45-54,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,73.879435,738,639,668,295,78,6,41,23,5.555556,3.116531,19,2,1,1,1.32983,2.370566,2.869633,27.261511,54.523023,54.523023,8.235053,449,55-64,female,1.15493
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,44.182818,7,7,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30928,0,0,55-64,male,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,89.790888,1,1,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089791,0,0,55-64,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,94.729553,301,266,264,123,26,7,19,9,6.312292,2.990033,7,0,0,0,1.500716,3.168177,4.073371,0,0,28.513595,0,0,65+,female,1.131579
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,242.767957,3,3,3,1,0,6,1,0,33.333333,0,0,0,0,0,0.728304,0,0,0,0,0.728304,0,0,65+,male,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo Retargeting 1 - pestañas,76.488535,3,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229466,0,0,65+,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,40.512545,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769738,0,0,18-24,female,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,79.972817,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079973,0,0,18-24,male,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,339.884472,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339884,0,0,18-24,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,41.368053,123,113,0,0,0,0,7,2,5.691057,1.626016,2,0,0,0,0.726896,2.544135,2.544135,0,0,5.08827,0,0,25-34,female,1.088496
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Imagen Retargeting 3,44.984709,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179939,0,0,25-34,male,1
